EOG Left,EEG C3-A1,EEG O1-A1,EEG C4-A1,EEG O2-A1
50.390625,12.20703125,8.3984375,6.640625,-0.87890625
-16.89453125,9.47265625,-6.34765625,15.625,4.296875
7.71484375,10.64453125,-4.6875,12.20703125,0.48828125
-15.8203125,-21.19140625,2.83203125,-17.3828125,-2.83203125
-3.125,16.30859375,11.23046875,11.1328125,6.73828125
-19.140625,-14.55078125,-11.03515625,-6.0546875,-7.91015625
20.99609375,10.7421875,0.87890625,1.953125,2.34375
-9.375,1.5625,0.48828125,-10.3515625,-8.984375
4.8828125,5.76171875,-17.7734375,8.203125,4.6875
-30.37109375,-11.71875,1.26953125,-2.34375,5.859375
62.01171875,-2.63671875,-1.46484375,9.08203125,4.1015625
17.96875,-7.6171875,-13.28125,-3.80859375,-5.078125
36.1328125,19.43359375,11.03515625,16.9921875,12.890625
-9.27734375,-8.203125,-1.7578125,-3.7109375,-1.5625
32.6171875,-16.015625,13.4765625,-35.25390625,9.08203125
-1.85546875,3.7109375,-5.2734375,0.1953125,-19.43359375
7.421875,-5.17578125,2.24609375,1.7578125,17.28515625
17.67578125,9.1796875,-8.88671875,9.375,0.1953125
6.34765625,-8.10546875,2.1484375,-11.03515625,1.26953125
22.8515625,-5.56640625,-7.8125,0.87890625,-9.765625
32.32421875,7.91015625,9.9609375,1.26953125,5.37109375
16.89453125,1.66015625,-25.0,-14.74609375,6.15234375
-10.64453125,17.28515625,-2.9296875,19.23828125,0.29296875
9.9609375,3.3203125,-2.05078125,8.88671875,11.71875
22.36328125,-2.24609375,11.71875,0.1953125,1.171875
0.87890625,10.7421875,9.27734375,12.98828125,7.8125
-13.76953125,-2.734375,-8.7890625,-0.5859375,-0.09765625
13.4765625,-4.19921875,17.3828125,-8.0078125,16.796875
-11.03515625,-29.4921875,-7.51953125,-33.3984375,-13.57421875
-9.86328125,-1.85546875,-8.7890625,-3.125,-4.4921875
-20.1171875,7.32421875,3.7109375,10.15625,-2.44140625
-52.05078125,-29.58984375,-12.40234375,-30.078125,-9.375
-26.85546875,11.328125,-4.98046875,5.46875,-10.7421875
-9.86328125,0.78125,8.10546875,-1.85546875,12.109375
-1.26953125,-19.3359375,-2.734375,-18.1640625,-8.59375
-77.24609375,-3.02734375,5.95703125,17.578125,1.07421875
-10.64453125,2.05078125,-2.5390625,-0.48828125,-0.09765625
-0.09765625,-8.30078125,8.7890625,-11.81640625,-3.125
16.015625,3.90625,-9.1796875,4.00390625,0.78125
20.1171875,-2.9296875,10.05859375,-7.71484375,2.5390625
-8.984375,-4.1015625,-28.125,-7.421875,-26.7578125
11.42578125,0.87890625,10.64453125,-11.1328125,23.046875
-5.95703125,-9.765625,-4.19921875,-10.64453125,-17.08984375
39.94140625,22.75390625,-18.5546875,19.7265625,8.30078125
3.515625,18.1640625,3.61328125,16.9921875,4.39453125
-7.12890625,9.66796875,-21.09375,8.203125,1.26953125
-13.671875,-12.40234375,21.97265625,-2.9296875,13.76953125
-186.1328125,-30.56640625,9.5703125,-18.75,8.203125
8.49609375,-7.2265625,-26.953125,2.63671875,-14.0625
-21.875,8.69140625,1.3671875,6.640625,10.05859375
-7.91015625,18.06640625,2.34375,20.703125,6.54296875
2.9296875,2.83203125,-29.19921875,5.078125,-12.20703125
-5.6640625,-16.69921875,-5.56640625,1.171875,-15.8203125
-6.25,-2.83203125,-2.44140625,-20.01953125,-28.7109375
-14.84375,1.7578125,4.98046875,4.6875,6.640625
11.328125,3.80859375,1.26953125,3.41796875,11.9140625
-2.05078125,10.64453125,-5.95703125,7.71484375,1.46484375
0.48828125,-5.37109375,4.296875,-2.5390625,6.73828125
29.1015625,-2.24609375,-6.640625,1.953125,-1.7578125
65.234375,21.77734375,9.9609375,9.375,19.7265625
-6.54296875,4.296875,2.63671875,0.09765625,3.41796875
-30.76171875,1.66015625,-7.2265625,8.0078125,-5.95703125
7.8125,-1.67e-14,-7.32421875,2.9296875,-18.65234375
-12.40234375,5.859375,-3.22265625,1.953125,1.07421875
-50.390625,-1.07421875,-4.1015625,8.30078125,-16.89453125
-12.98828125,10.7421875,10.44921875,20.5078125,12.6953125
-7.91015625,-2.24609375,10.7421875,-4.6875,9.1796875
-11.9140625,-7.03125,10.64453125,-10.64453125,-4.8828125
-4.19921875,9.66796875,8.30078125,4.1015625,3.22265625
9.5703125,13.671875,-4.19921875,8.10546875,2.05078125
-50.0,-6.54296875,1.3671875,-1.66015625,-5.46875
6.25,8.49609375,-4.58984375,15.0390625,-4.6875
11.9140625,-2.44140625,4.58984375,6.15234375,3.80859375
-5.078125,-9.08203125,-18.9453125,-17.96875,-9.08203125
-52.24609375,-10.546875,19.43359375,-17.48046875,16.11328125
-9.08203125,-18.1640625,17.578125,-8.88671875,17.578125
-27.5390625,1.7578125,0.78125,3.61328125,-2.83203125
3.22265625,12.40234375,7.32421875,-6.4453125,8.49609375
1.3671875,8.0078125,3.02734375,5.859375,19.7265625
12.5,-15.625,-2.05078125,-11.5234375,-11.5234375
56.25,13.671875,-0.09765625,12.890625,1.66015625
-34.1796875,11.9140625,-1.85546875,14.55078125,6.15234375
-3.90625,9.47265625,-3.125,16.11328125,-2.05078125
2.05078125,7.32421875,19.921875,-2.44140625,20.1171875
23.73046875,6.93359375,-7.12890625,0.78125,-8.3984375
-55.46875,-9.66796875,7.32421875,-17.578125,-5.2734375
58.10546875,-0.390625,-3.22265625,0.48828125,0.48828125
-5.56640625,-17.3828125,-5.46875,-16.9921875,-11.71875
0.48828125,-3.22265625,2.63671875,-9.5703125,-3.7109375
-3.7109375,-2.9296875,4.19921875,-10.64453125,-0.68359375
16.30859375,-9.5703125,-21.09375,-6.34765625,-17.578125
-12.890625,-1.3671875,13.4765625,-1.26953125,27.44140625
-29.4921875,-2.34375,5.17578125,5.37109375,1.5625
-19.23828125,-28.80859375,-3.02734375,-20.99609375,-0.48828125
-20.41015625,-13.18359375,-1.85546875,-13.18359375,-13.57421875
-20.21484375,-1.26953125,-2.63671875,-11.1328125,-12.01171875
0.87890625,-0.78125,-5.95703125,-3.515625,-18.45703125
-21.875,4.8828125,1.171875,3.80859375,-0.87890625
38.8671875,-15.234375,-3.125,-0.68359375,-3.7109375
-17.48046875,-28.22265625,-20.8984375,-37.59765625,-21.58203125
14.55078125,-0.9765625,-6.0546875,-10.05859375,-8.30078125
9.66796875,-5.56640625,1.953125,-13.18359375,0.5859375
16.9921875,4.8828125,12.3046875,-1.07421875,6.4453125
8.203125,2.44140625,5.95703125,-12.20703125,-0.9765625
-29.4921875,-5.2734375,4.00390625,-10.9375,18.75
-31.0546875,-14.55078125,-0.390625,-24.12109375,0.5859375
-17.96875,-17.7734375,-8.59375,-22.0703125,-32.71484375
8.203125,-5.078125,4.6875,-1.07421875,-5.46875
17.96875,17.578125,-31.0546875,5.859375,-0.09765625
15.625,1.5625,5.76171875,-11.03515625,8.10546875
4.78515625,-8.88671875,-3.41796875,-13.76953125,-2.34375
4.6875,2.05078125,-12.98828125,3.125,-5.078125
-16.796875,-1.26953125,4.98046875,-12.890625,9.47265625
